value_id,element_id,attribute_id,subject_term_label,subject_term_value,locale_id,object_table_num,object_id,object_name
3485,177,1891,"Georgetown, Guyana","georgetown, guyana",1,57,8,Georgetown Review
3486,177,1892,Working People's Alliance,working people's alliance,1,57,8,Georgetown Review
3487,177,1893,Guyana--History,guyana--history,1,57,8,Georgetown Review
3574,177,1953,Theater,theater,1,57,39,TDR
3574,177,1953,Theater,theater,1,57,39,TDR: The Drama Review
3575,177,1954,"Brecht, Bertold","brecht, bertold",1,57,39,TDR
3575,177,1954,"Brecht, Bertold","brecht, bertold",1,57,39,TDR: The Drama Review
3593,177,1969,"King, Martin Luther, Jr.","king, martin luther, jr.",1,57,41,We Still Have a Dream
3594,177,1970,activists,activists,1,57,41,We Still Have a Dream
3613,177,1984,Leninism,leninism,1,57,40,Leninism: A Great Creative Force
3616,177,1987,24th CPSU Congress,24th cpsu congress,1,57,40,Leninism: A Great Creative Force
3637,177,2004,North Star Fun,north star fun,1,57,44,North Star Fund 1979-1989
3649,177,2013,Maoism,maoism,1,57,42,Peking Divisionists
3650,177,2014,Communism,communism,1,57,42,Peking Divisionists
3657,177,2019,Anarchism,anarchism,1,57,45,"Anarchism, Trotskyism, Maoism"
3658,177,2020,Maoism,maoism,1,57,45,"Anarchism, Trotskyism, Maoism"
3659,177,2021,Trotskyism,trotskyism,1,57,45,"Anarchism, Trotskyism, Maoism"
3686,177,2040,cigarette,cigarette,1,57,47,Don't Be a Fool
3687,177,2041,tobacco,tobacco,1,57,47,Don't Be a Fool
3688,177,2042,KOOL,kool,1,57,47,Don't Be a Fool
3689,177,2043,African Americans,african americans,1,57,47,Don't Be a Fool
3734,177,2077,Anarcho-syndicalism,anarcho-syndicalism,1,57,50,Chicago May 1-4 Haymarket '86 Anarchist Gathering
3741,177,2084,Chile,chile,1,57,48,Chile: Cantos para la resistencia
3741,177,2084,Chile,chile,1,57,48,Chile: Songs for the Resistance
3742,177,2085,protest songs,protest songs,1,57,48,Chile: Cantos para la resistencia
3742,177,2085,protest songs,protest songs,1,57,48,Chile: Songs for the Resistance
3743,177,2086,political ballades,political ballades,1,57,48,Chile: Cantos para la resistencia
3743,177,2086,political ballades,political ballades,1,57,48,Chile: Songs for the Resistance
3752,177,2092,Terrorism,terrorism,1,57,49,Against Individual Terrorism
3753,177,2093,Stalinism,stalinism,1,57,49,Against Individual Terrorism
3766,177,2105,teamsters,teamsters,1,57,46,"Daily News Workers: ""We're Gonna Win!"" On Strike"
3766,177,2105,teamsters,teamsters,1,57,46,Daily News Workers: On Strike
3774,177,2112,"King, Martin Luther, Jr.","king, martin luther, jr.",1,57,51,Support the National Holiday of the Birthday of Dr. Martin Luther King Jr.
3796,177,2129,May Day,may day,1,57,43,Jobs Peace Equality May Day 1886–1979
3826,177,2148,theater,theater,1,57,53,Black Theatre issue
3826,177,2148,theater,theater,1,57,53,TDR
3826,177,2148,theater,theater,1,57,53,TDR: The Drama Review
3827,177,2149,Black Arts Movement,black arts movement,1,57,53,Black Theatre issue
3827,177,2149,Black Arts Movement,black arts movement,1,57,53,TDR
3827,177,2149,Black Arts Movement,black arts movement,1,57,53,TDR: The Drama Review
3838,177,2159,Women,women,1,57,52,Lavender Jane Loves Women
3839,177,2160,Lesbians,lesbian,1,57,52,Lavender Jane Loves Women
3887,177,2199,Palestine,palestine,1,57,54,Palestinian History in Postage Stamps
3888,177,2200,Postage Stamps,postage stamps,1,57,54,Palestinian History in Postage Stamps
3889,177,2201,Intifada,intifada,1,57,54,Palestinian History in Postage Stamps
3890,177,2202,Zionism,zionism,1,57,54,Palestinian History in Postage Stamps
3891,177,2203,Palestinian Front for the Liberation of Palestine,palestinian front for the liberation of palestine,1,57,54,Palestinian History in Postage Stamps
3983,177,2254,labor strikes,labor strikes,1,57,46,"Daily News Workers: ""We're Gonna Win!"" On Strike"
3983,177,2254,labor strikes,labor strikes,1,57,46,Daily News Workers: On Strike
3984,177,2255,unions,unions,1,57,46,"Daily News Workers: ""We're Gonna Win!"" On Strike"
3984,177,2255,unions,unions,1,57,46,Daily News Workers: On Strike
3985,177,2256,labor,labor,1,57,46,"Daily News Workers: ""We're Gonna Win!"" On Strike"
3985,177,2256,labor,labor,1,57,46,Daily News Workers: On Strike
3987,177,2258,"Chicago, Illinois","chicago, illinois",1,57,50,Chicago May 1-4 Haymarket '86 Anarchist Gathering
3988,177,2259,May Day,may day,1,57,50,Chicago May 1-4 Haymarket '86 Anarchist Gathering
3989,177,2260,Anarchism,anarchism,1,57,50,Chicago May 1-4 Haymarket '86 Anarchist Gathering
3990,177,2261,Haymarket affair,haymarket affair,1,57,50,Chicago May 1-4 Haymarket '86 Anarchist Gathering
3992,177,2263,labor,labor,1,57,43,Jobs Peace Equality May Day 1886–1979
3993,177,2264,AFL CIO,afl cio,1,57,43,Jobs Peace Equality May Day 1886–1979
3994,177,2265,unions,unions,1,57,43,Jobs Peace Equality May Day 1886–1979
3997,177,2268,"Douglass, Frederick","douglass, frederick",1,57,44,North Star Fund 1979-1989
3998,177,2269,city skyline,city skyline,1,57,44,North Star Fund 1979-1989
3999,177,2270,shooting stars,shooting stars,1,57,44,North Star Fund 1979-1989
4002,177,2273,Civil Rights Movement,civil rights movement,1,57,51,Support the National Holiday of the Birthday of Dr. Martin Luther King Jr.
4004,177,2275,"Martin Luther King, Jr., Day","martin luther king, jr., day",1,57,51,Support the National Holiday of the Birthday of Dr. Martin Luther King Jr.
4005,177,2276,holidays,holidays,1,57,51,Support the National Holiday of the Birthday of Dr. Martin Luther King Jr.
4006,177,2277,activists,activists,1,57,51,Support the National Holiday of the Birthday of Dr. Martin Luther King Jr.
4008,177,2279,Civil Rights Movement,civil rights movement,1,57,41,We Still Have a Dream
4206,177,2391,"Rodney, Walter","rodney, walter",1,57,8,Georgetown Review
4250,177,2423,Guyana--History,guyana--history,1,57,12,Toward a Revolutionary Socialist Guyana: Principles and Programme of the Working People's Alliance
4251,177,2424,Working People's Alliance,working people's alliance,1,57,12,Toward a Revolutionary Socialist Guyana: Principles and Programme of the Working People's Alliance
4252,177,2425,"Rodney, Walter","rodney, walter",1,57,12,Toward a Revolutionary Socialist Guyana: Principles and Programme of the Working People's Alliance
4253,177,2426,Socialism,socialism,1,57,12,Toward a Revolutionary Socialist Guyana: Principles and Programme of the Working People's Alliance
4280,177,2449,Palestine,palestine,1,57,32,Intifada: Palestine will be free from the river to the sea
4281,177,2450,Intifada,intifada,1,57,32,Intifada: Palestine will be free from the river to the sea
4283,177,2453,"Cheney, Dick","cheney, dick",1,57,33,Got Oil
4283,177,2453,"Cheney, Dick","cheney, dick",1,57,33,Got Oil?
4284,177,2454,oil,oil,1,57,33,Got Oil
4284,177,2454,oil,oil,1,57,33,Got Oil?
4285,177,2455,anti-war movements,anti-war movements,1,57,33,Got Oil
4285,177,2455,anti-war movements,anti-war movements,1,57,33,Got Oil?
4292,177,2463,Communism,communism,1,57,40,Leninism: A Great Creative Force
4297,177,2468,China,china,1,57,42,Peking Divisionists
4301,177,2473,workers,workers,1,57,46,"Daily News Workers: ""We're Gonna Win!"" On Strike"
4301,177,2473,workers,workers,1,57,46,Daily News Workers: On Strike
4306,177,2480,graffiti,graffiti,1,57,29,Taking the Train
4306,177,2480,graffiti,graffiti,1,57,29,Taking the Train: How graffiti art became an urban crisis in New York City
4308,177,2482,New York,new york,1,57,29,Taking the Train
4308,177,2482,New York,new york,1,57,29,Taking the Train: How graffiti art became an urban crisis in New York City
4331,177,2507,environmental justice,environmental justice,1,57,57,Resourced
4332,177,2508,tar sands,tar sands,1,57,57,Resourced
4333,177,2509,fracking,fracking,1,57,57,Resourced
4334,177,2510,indigenous movements,indigenous movements,1,57,57,Resourced
4335,177,2511,gold mining,gold mining,1,57,57,Resourced
4336,177,2512,dams,dams,1,57,57,Resourced
4337,177,2513,coal mining,coal mining,1,57,57,Resourced
4338,177,2514,climate change,climate change,1,57,57,Resourced
4339,177,2515,urban gardening,urban gardening,1,57,57,Resourced
4340,177,2516,farm workers movement,farm workers movement,1,57,57,Resourced
4341,177,2517,Cesar Chavez,cesar chavez,1,57,57,Resourced
4342,177,2518,land,land,1,57,57,Resourced
4343,177,2519,ecology,ecology,1,57,57,Resourced
4344,177,2520,environmentalism,environmentalism,1,57,57,Resourced
4345,177,2521,anti-capitalism,anti-capitalism,1,57,57,Resourced
4701,177,2862,NULL,null,1,57,59,Occuprint Collection
4773,177,2916,Occupy Movement,occupy movement,1,57,72,Outgrow the Status Quo
4774,177,2917,May Day,may day,1,57,72,Outgrow the Status Quo
4775,177,2918,Strike,strikes,1,57,72,Outgrow the Status Quo
4779,177,2922,Occupy Movement,occupy movement,1,57,73,Huelga General
4780,177,2923,General Strike,general strike,1,57,73,Huelga General
4781,177,2924,May Day,may day,1,57,73,Huelga General
4805,177,2947,Occupy Movements,occupy movement,1,57,76,The Occupied Wall Street Journal
4806,177,2948,Satire,satire,1,57,76,The Occupied Wall Street Journal
4807,177,2949,Newspapers,newspapers,1,57,76,The Occupied Wall Street Journal
4817,177,2959,General strike,general strike,1,57,78,General Strike Stickers
4818,177,2960,Occuprint,occuprint,1,57,78,General Strike Stickers
4819,177,2961,May Day,may day,1,57,78,General Strike Stickers
4835,177,2972,Occuprint,occuprint,1,57,79,The Beginning Is Near
4836,177,2973,Occupy Movement,occupy movement,1,57,79,The Beginning Is Near
4842,177,2979,Occupy Movement,occupy movement,1,57,80,General Strike! [Mouth]
4843,177,2980,Occuprint,occuprint,1,57,80,General Strike! [Mouth]
4844,177,2981,General Strike,general strike,1,57,80,General Strike! [Mouth]
4893,177,3030,Occuprint,occuprint,1,57,75,Occuprint Portfolio
4894,177,3031,Occupy Movement,occupy movement,1,57,75,Occuprint Portfolio
4895,177,3032,feminism,feminism,1,57,75,Occuprint Portfolio
4896,177,3033,student debt,student debt,1,57,75,Occuprint Portfolio
4897,177,3034,general strikes,general strike,1,57,75,Occuprint Portfolio
4898,177,3035,police accountability,police accountability,1,57,75,Occuprint Portfolio
4899,177,3036,internationalism,internationalism,1,57,75,Occuprint Portfolio
4900,177,3037,anti-capitalism,anti-capitalism,1,57,75,Occuprint Portfolio
4901,177,3038,corporate greed,corporate greed,1,57,75,Occuprint Portfolio
4902,177,3039,Native Americans,native americans,1,57,75,Occuprint Portfolio
4903,177,3040,decolonization,decolonization,1,57,75,Occuprint Portfolio
4904,177,3041,Wall Street,wall street,1,57,75,Occuprint Portfolio
4911,177,3047,Occuprint,occuprint,1,57,81,Occuprint Portfolio pre-publication edition
4912,177,3048,Occupy Movement,occupy movement,1,57,81,Occuprint Portfolio pre-publication edition
4913,177,3049,feminism,feminism,1,57,81,Occuprint Portfolio pre-publication edition
4914,177,3050,student debt,student debt,1,57,81,Occuprint Portfolio pre-publication edition
4915,177,3051,general strikes,general strike,1,57,81,Occuprint Portfolio pre-publication edition
4916,177,3052,police accountability,police accountability,1,57,81,Occuprint Portfolio pre-publication edition
4917,177,3053,internationalism,internationalism,1,57,81,Occuprint Portfolio pre-publication edition
4918,177,3054,anti-capitalism,anti-capitalism,1,57,81,Occuprint Portfolio pre-publication edition
4919,177,3055,corporate greed,corporate greed,1,57,81,Occuprint Portfolio pre-publication edition
4920,177,3056,Native Americans,native americans,1,57,81,Occuprint Portfolio pre-publication edition
4921,177,3057,decolonization,decolonization,1,57,81,Occuprint Portfolio pre-publication edition
4922,177,3058,NULL,null,1,57,81,Occuprint Portfolio pre-publication edition
4927,177,3063,Occuprint,occuprint,1,57,74,General Strike Match
4928,177,3064,Occupy Movement,occupy movement,1,57,74,General Strike Match
4929,177,3065,General Strike,general strike,1,57,74,General Strike Match
4934,177,3070,Occupy Movement,occupy movement,1,57,82,General Strike Beer Coaster
4935,177,3071,General strikes,general strike,1,57,82,General Strike Beer Coaster
4946,177,3081,Occuprint,occuprint,1,57,83,Dollar Tower
4947,177,3082,Occupy Movement,occupy movement,1,57,83,Dollar Tower
4954,177,3086,Occuprint,occuprint,1,57,72,Outgrow the Status Quo
4955,177,3087,Occuprint,occuprint,1,57,73,Huelga General
4956,177,3088,Occuprint,occuprint,1,57,67,Kite Strike
4957,177,3089,Occupy Movement,occupy movement,1,57,67,Kite Strike
4958,177,3090,General Strike,general strike,1,57,67,Kite Strike
5141,177,3231,Occuprint,occuprint,1,57,99,Occupy Sisterhood
5142,177,3232,Occupy Movement,occupy movement,1,57,99,Occupy Sisterhood
5143,177,3233,Feminism,feminism,1,57,99,Occupy Sisterhood
5144,177,3234,Women of color,women of color,1,57,99,Occupy Sisterhood
5145,177,3235,The war on women,the war on women,1,57,99,Occupy Sisterhood
5157,177,3244,Occuprint,occuprint,1,57,100,International Workers Day
5158,177,3245,Occupy Movement,occupy movement,1,57,100,International Workers Day
5159,177,3246,General Strike,general strike,1,57,100,International Workers Day
5160,177,3247,May Day,may day,1,57,100,International Workers Day
5161,177,3248,NULL,null,1,57,100,International Workers Day
5164,177,3251,Occuprint,occuprint,1,57,101,Job Creators
5165,177,3252,Occupy Movement,occupy movement,1,57,101,Job Creators
5166,177,3253,Monopoly,monopoly,1,57,101,Job Creators
5167,177,3254,Rich Uncle Pennybags,rich uncle pennybags,1,57,101,Job Creators
5168,177,3255,anti-capitalism,anti-capitalism,1,57,101,Job Creators
5169,177,3256,NULL,null,1,57,101,Job Creators
5175,177,3262,Occuprint,occuprint,1,57,102,When in Riot Gear
5176,177,3263,Occupy Movement,occupy movement,1,57,102,When in Riot Gear
5177,177,3264,Police and Policing,police and policing,1,57,102,When in Riot Gear
5178,177,3265,Policing of protest,policing of protest,1,57,102,When in Riot Gear
5200,177,3284,Student Debt,student debt,1,57,103,Bail Out the Students
5201,177,3285,Occupy Movement,occupy movement,1,57,103,Bail Out the Students
5202,177,3286,Occuprint,occuprint,1,57,103,Bail Out the Students
5208,177,3292,Occuprint,occuprint,1,57,104,General Strike Match (Hand printed)
5209,177,3293,Occupy Movement,occupy movement,1,57,104,General Strike Match (Hand printed)
5210,177,3294,General Strike,general strike,1,57,104,General Strike Match (Hand printed)
5223,177,3307,Wall Street,wall street,1,57,105,Money Talks Too Much
5224,177,3308,Occuprint,occuprint,1,57,105,Money Talks Too Much
5225,177,3309,Occupy Movement,occupy movement,1,57,105,Money Talks Too Much
5234,177,3318,Occuprint,occuprint,1,57,106,Lenape Occupied
5235,177,3319,Occupy Movement,occupy movement,1,57,106,Lenape Occupied
5236,177,3320,Native Americans,native americans,1,57,106,Lenape Occupied
5237,177,3321,anti-colonialism,anti-colonialism,1,57,106,Lenape Occupied
5238,177,3322,Settler-colonialism,settler-colonialism,1,57,106,Lenape Occupied
5239,177,3323,Wall Street,wall street,1,57,106,Lenape Occupied
5250,177,3334,Police Accountability,police accountability,1,57,107,Keep Calm and Cameras On
5251,177,3335,Occupy Movement,occupy movement,1,57,107,Keep Calm and Cameras On
5252,177,3336,Occuprint,occuprint,1,57,107,Keep Calm and Cameras On
5253,177,3337,Video activism,video activism,1,57,107,Keep Calm and Cameras On
5254,177,3338,Satire,satire,1,57,107,Keep Calm and Cameras On
5263,177,3347,Occuprint,occuprint,1,57,108,America is Broke-n
5263,177,3347,Occuprint,occuprint,1,57,108,America is Broken
5264,177,3348,Occupy Movement,occupy movement,1,57,108,America is Broke-n
5264,177,3348,Occupy Movement,occupy movement,1,57,108,America is Broken
5265,177,3349,NULL,null,1,57,108,America is Broke-n
5265,177,3349,NULL,null,1,57,108,America is Broken
5277,177,3361,The 99%,the 99%,1,57,109,Occupy Everything Pie Chart
5278,177,3362,The 1%,the 1%,1,57,109,Occupy Everything Pie Chart
5280,177,3364,Occupy Movement,occupy movement,1,57,109,Occupy Everything Pie Chart
5289,177,3373,Occuprint,occuprint,1,57,110,Occupy Baltimore
5290,177,3374,Occupy Movement,occupy movement,1,57,110,Occupy Baltimore
5291,177,3375,Shellfish,shellfish,1,57,110,Occupy Baltimore
5296,177,3380,video activism,video activism,1,57,75,Occuprint Portfolio
5297,177,3381,The 1%,the 1%,1,57,75,Occuprint Portfolio
5298,177,3382,The 99%,the 99%,1,57,75,Occuprint Portfolio
5307,177,3391,Occuprint,occuprint,1,57,111,Day and Night
5308,177,3392,Occupy Movement,occupy movement,1,57,111,Day and Night
5309,177,3393,Housing,housing,1,57,111,Day and Night
5310,177,3394,Cities,cities,1,57,111,Day and Night
5337,177,3418,May Day,may day,1,57,82,General Strike Beer Coaster
5341,177,3421,Work,work,1,57,82,General Strike Beer Coaster
5387,177,3464,NULL,null,1,57,119,Fight Back World Wide
5411,177,3488,NULL,null,NULL,57,122,Occupy Homes
5466,177,3543,The 99%,the 99%,1,57,130,We the 99 Percent
5637,177,3694,Inmates for Action (IFA),inmates for action (ifa),1,57,151,Alabama's Atticas: The Case of the Atmore-Holman Brothers
5642,177,3698,Lucasville Prison rebellion,lucasville prison rebellion,1,57,153,Race Treason Behind Prison Walls 
5652,177,3707,NULL,null,1,57,154,A Story of Attica
5652,177,3707,NULL,null,1,57,154,"A Story of Attica: A Quick Primer on the Attica Prison Rebellion of 1971 in Honor of the 40th Anniversary of the Uprising September 9-13, 2011"
5669,177,3723,NULL,null,1,57,76,The Occupied Wall Street Journal
5814,177,3847,Squatters,squatters,1,57,164,Not for rent: conversations with creative activists in the U.K.
5815,177,3848,Housing,housing,1,57,164,Not for rent: conversations with creative activists in the U.K.
5823,177,3856,Riots,riots,1,57,163,Bristol Riots
5824,177,3857,Police brutality,police brutality,1,57,163,Bristol Riots
5825,177,3858,Squatters,squatters,1,57,163,Bristol Riots
5826,177,3859,Social media,social media,1,57,163,Bristol Riots
5827,177,3860,Tesco,tesco,1,57,163,Bristol Riots
5851,177,3874,fiction,fiction,1,57,166,Green Eggs and Ham
5851,177,3874,fiction,fiction,1,57,166,Sam I am
5852,177,3875,NULL,null,1,57,166,Green Eggs and Ham
5852,177,3875,NULL,null,1,57,166,Sam I am
5925,177,3935,Hip hop,hip hop,1,57,168,ANG 13
5939,177,3945,Hip Hop,hip hop,1,57,169,"No Additives, No Preservatives (xtra phat)"
5940,177,3946,NULL,null,1,57,169,"No Additives, No Preservatives (xtra phat)"
5948,177,3953,Hip hop,hip hop,1,57,170,It's O.K. (single)
5956,177,3960,Hip hop,hip hop,1,57,171,Labor Days
5957,177,3961,NULL,null,1,57,171,Labor Days
5992,177,3983,death penaltydeath penalty,death penaltydeath penalty,1,57,172,No Death Penalty for Zolo Azania!!
5993,177,3984,political prisoners,political prisoners,1,57,172,No Death Penalty for Zolo Azania!!
6040,177,4027,Hip Hop,hip hop,1,57,176,A2G EP
6054,177,4040,Hip hop,hip hop,1,57,177,Overcast! EP
6086,177,4057,political prisoners,political prisoners,1,57,174,New Afrikan Political Prisoners & Prisoners of War Profiles
6086,177,4057,political prisoners,political prisoners,1,57,174,New Afrikan Political Prisoners and Prisoners of War Profiles
6087,177,4058,prisoners of war (use for POW),prisoners of war (use for pow),1,57,174,New Afrikan Political Prisoners & Prisoners of War Profiles
6087,177,4058,prisoners of war (use for POW),prisoners of war (use for pow),1,57,174,New Afrikan Political Prisoners and Prisoners of War Profiles
6117,177,4085,hip hop,hip hop,1,57,180,Diagonal Ryme Garganchula
6140,177,4106,Hip hop,hip hop,1,57,182,End to end burners
6140,177,4106,Hip hop,hip hop,1,57,182,End to end burners...krazy kings too
6147,177,4112,NULL,null,1,57,183,Deception (single)
