value_id,element_id,attribute_id,item_id,value_longtext1,value_longtext2,value_blob,value_decimal1,value_decimal2,value_integer1,source_info,attribute_id,element_id,locale_id,table_num,row_id,name
3485,177,1891,NULL,"Georgetown, Guyana",NULL,NULL,NULL,NULL,NULL,,1891,177,1,57,8,Georgetown Review
3486,177,1892,NULL,Working People's Alliance,NULL,NULL,NULL,NULL,NULL,,1892,177,1,57,8,Georgetown Review
3487,177,1893,NULL,Guyana--History,NULL,NULL,NULL,NULL,NULL,,1893,177,1,57,8,Georgetown Review
3574,177,1953,NULL,Theater,NULL,NULL,NULL,NULL,NULL,,1953,177,1,57,39,TDR
3574,177,1953,NULL,Theater,NULL,NULL,NULL,NULL,NULL,,1953,177,1,57,39,TDR: The Drama Review
3575,177,1954,NULL,"Brecht, Bertold",NULL,NULL,NULL,NULL,NULL,,1954,177,1,57,39,TDR
3575,177,1954,NULL,"Brecht, Bertold",NULL,NULL,NULL,NULL,NULL,,1954,177,1,57,39,TDR: The Drama Review
3593,177,1969,NULL,"King, Martin Luther, Jr.",NULL,NULL,NULL,NULL,NULL,,1969,177,1,57,41,We Still Have a Dream
3594,177,1970,NULL,activists,NULL,NULL,NULL,NULL,NULL,,1970,177,1,57,41,We Still Have a Dream
3613,177,1984,NULL,Leninism,NULL,NULL,NULL,NULL,NULL,,1984,177,1,57,40,Leninism: A Great Creative Force
3616,177,1987,NULL,24th CPSU Congress,NULL,NULL,NULL,NULL,NULL,,1987,177,1,57,40,Leninism: A Great Creative Force
3637,177,2004,NULL,North Star Fun,NULL,NULL,NULL,NULL,NULL,,2004,177,1,57,44,North Star Fund 1979-1989
3649,177,2013,NULL,Maoism,NULL,NULL,NULL,NULL,NULL,,2013,177,1,57,42,Peking Divisionists
3650,177,2014,NULL,Communism,NULL,NULL,NULL,NULL,NULL,,2014,177,1,57,42,Peking Divisionists
3657,177,2019,NULL,Anarchism,NULL,NULL,NULL,NULL,NULL,,2019,177,1,57,45,"Anarchism, Trotskyism, Maoism"
3658,177,2020,NULL,Maoism,NULL,NULL,NULL,NULL,NULL,,2020,177,1,57,45,"Anarchism, Trotskyism, Maoism"
